List OF Successful Candidates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Constituency,AC NO,Winner,Sex,Party
Ratabari,1,Kripanath Mallah,M,BJP       
Patharkandi,2,Krishnendu Paul,M,BJP       
Karimganj North,3,Kamalakhya Dey Purkayastha,M,INC       
Karimganj South,4,Aziz Ahmed Khan,M,AIUDF     
Badarpur,5,Jamal Uddin Ahmed,M,INC       
Hailakandi,6,Anwar Hussain Laskar,M,AIUDF     
Katlichera,7,Suzam Uddin Laskar,M,AIUDF     
Algapur,8,Nizam Uddin Choudhury,M,AIUDF     
Silchar,9,Dilip Kumar Paul,M,BJP       
Sonai,10,Aminul Haque Laskar,M,BJP       
Dholai,11,Parimal Suklabaidya,M,BJP       
Udharbond,12,Mihir Kanti Shome,M,BJP       
Lakhipur,13,Rajdeep Goala,M,INC       
Barkhola,14,Kishor Nath,M,BJP       
Katigorah,15,Amar Chand Jain,M,BJP       
Haflong ,16,Bir Bhadra Hagjer,M,BJP       
Bokajan,17,Numal Momin,M,BJP       
Howraghat,18,Joy Ram Engleng,M,BJP       
Diphu,19,Sum Ronghang,M,BJP       
Baithalangso,20,Dr.Mansing Rongpi,M,INC       
Mankachar ,21,Dr. Motiur Rohman Mondal,M,INC       
Salmara South,22,Wazed Ali Choudhury,M,INC       
Dhubri,23,Najrul Hoque,M,AIUDF     
Gauripur,24,Nijanur Rahman,M,AIUDF     
Golakganj,25,Ashwini Ray Sarkar,M,BJP       
Bilasipara West,26,Hafiz Bashir Ahmed,M,AIUDF     
Bilasipara East,27,Ashok Kumar Singhi,M,BJP       
Gossaigaon,28,Majendra Narzary,M,BOPF      
Kokrajhar West,29,Rabiram Narzary,M,BOPF      
Kokrajhar East,30,Pramila Rani Brahma,F,BOPF      
Sidli ,31,Chandan Brahma,M,BOPF      
Bongaigaon,32,Phani Bhusan Choudhury,M,AGP       
Bijni,33,Kamal Shing Narzary,M,BOPF      
Abhayapuri North,34,Abdul Hai Nagori,M,INC       
Abhayapuri South (Sc),35,Ananta Kumar Malo,M,AIUDF     
Dudhnai,36,Dipak Kumar Rabha,M,BJP       
Goalpara East,37,Abul Kalam Rasheed Alam,M,INC       
Goalpara West,38,Abdur Rashid Mandal,M,INC       
Jaleswar,39,Sahab Uddin Ahmed,M,AIUDF     
Sorbhog,40,Ranjeet Kumar Dass,M,BJP       
Bhabanipur,41,Abul Kalam Azad,M,AIUDF     
Patacharkuchi,42,Pabindra Deka,M,AGP       
Barpeta,43,Gunindra Nath Das,M,AGP       
Jania,44,Abdul Khaleque,M,INC       
Baghbar,45,Sherman Ali Ahmed,M,INC       
Sarukhetri,46,Jakir Hussain Sikdar,M,INC       
Chenga,47,Sukur Ali Ahmed,M,INC       
Boko Sc,48,Nandita Das,F,INC       
Chaygaon,49,Rekibuddin Ahmed,M,INC       
Palasbari,50,Pranab Kalita,M,BJP       
Jalukbari,51,Himanta Biswa Sarma,M,BJP       
Dispur ,52,Atul Bora,M,BJP       
Gauhati East,53,Siddhartha Bhattacharya,M,BJP       
Gauhati West,54,Ramendra Narayan Kalita,M,AGP       
Hajo,55,Suman Haripriya,F,BJP       
Kamalpur,56,Satyabrat Kalita,M,AGP       
Rangia,57,Bhabesh Kalita,M,BJP       
Tamulpur,58,Emmanuel Mosahary,M,BOPF      
Nalbari,59,Ashok Sarma,M,BJP       
Barkhetry,60,Narayan Deka,M,BJP       
Dharmapur,61,Chandra Mohan Patowary,M,BJP       
Barama,62,Maneswar Brahma,M,BOPF      
Chapaguri,63,Thaneswar Basumatary,M,BOPF      
Panery,64,Kamali Basumatari,F,BOPF      
Kalaigaon,65,Maheswar Baro,M,BOPF      
Sipajhar,66,Binanda Kumar Saikia,M,BJP       
Mangaldoi,67,Gurujyoti Das,M,BJP       
Dalgaon,68,Ilias Ali,M,INC       
Udalguri,69,Rihon Daimari,M,BOPF      
Majbat,70,Charan Boro,M,BOPF      
Dhekiajuli,71,Ashok  Singhal,M,BJP       
Barchalla,72,Ganesh Kumar Limbu,M,BJP       
Tezpur,73,Brindaban Goswami,M,AGP       
Rangapara,74,Pallab Lochan Das,M,BJP       
Sootea,75,Padma Hazarika,M,BJP       
Biswanath,76,Promod Borthakur,M,BJP       
Behali,77,Ranjit Dutta,M,BJP       
Gohpur,78,Utpal Borah,M,BJP       
Jagiroad,79,Pijush Hazarika,M,BJP       
Marigaon,80,Rama Kanta Dewri,M,BJP       
Laharighat,81,Dr. Nazrul Islam,M,INC       
Raha,82,Dimbeswar Das,M,BJP       
Dhing,83,Aminul Islam,M,AIUDF     
Batadroba,84,Angoorlata Deka,F,BJP       
Rupohihat,85,Nurul Huda,M,INC       
Nowgong,86,Rupak Sarmah,M,BJP       
Barhampur,87,Prafulla Kumar Mahanta,M,AGP       
Samaguri,88,Rakibul Hussain,M,INC       
Kaliabor,89,Keshab Mahanta,M,AGP       
Jamunamukh,90,Abdur Rahim Ajmal,M,AIUDF     
Hojai,91,Shiladitya Dev,M,BJP       
Lumding,92,Sibu Misra,M,BJP       
Bokakhat,93,Atul Bora,M,AGP       
Sarupathar,94,Roselina Tirkey,F,INC       
Golaghat,95,Ajanta Neog,F,INC       
Khumtai,96,Mrinal Saikia,M,BJP       
Dergaon,97,Bhabendra Nath Bharali,M,AGP       
Jorhat,98,Hitendra Nath Goswami,M,BJP       
Majuli,99,Sarbananda Sonowal,M,BJP       
Titabar,100,Tarun Gogoi,M,INC       
Mariani,101,Rupjyoti Kurmi,M,INC       
Teok,102,Renupoma Rajkhowa,F,AGP       
Amguri,103,Prodip Hazarika,M,AGP       
Nazira,104,Debabrata Saikia,M,INC       
Mahmara,105,Jogen Mohan,M,BJP       
Sonari,106,Topon Kumar Gogoi,M,BJP       
Thowra,107,Kushal Dowari,M,BJP       
Sibsagar,108,Pranab Kumar Gogoi,M,INC       
Bihpuria,109,Debananda Hazarika,M,BJP       
Naoboicha,110,Mamun Imdadul Haque Chawdhury,M,AIUDF     
Lakhimpur,111,Utpal Dutta,M,AGP       
Dhakuakhana,112,Naba Kumar Doley,M,BJP       
Dhemaji,113,Pradan Baruah,M,BJP       
Jonai,114,Bhubon Pegu,M,IND       
Moran,115,Chakradhar Gogoi,M,BJP       
Dibrugarh,116,Prasanta Phukan,M,BJP       
Lahowal,117,Rituparna Baruah,M,BJP       
Duliajan,118,Terash Gowalla,M,BJP       
Tingkhong,119,Bimal Borah,M,BJP       
Naharkatia,120,Naren Sonowal (Botali),M,AGP       
Chabua ,121,Binod Hazarika,M,BJP       
Tinsukia,122,Sanjoy Kishan,M,BJP       
Digboi,123,Suren Phukan,M,BJP       
Margherita,124,Bhaskar Sharma,M,BJP       
Doom Dooma,125,Durga Bhumij,M,INC       
Sadiya,126,Bolin Chetia,M,BJP       
