Performance Of Women Candidates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Constituency Name,Constituency No.,Candidate No.,Candidate Name,Party Type,Party Name, Vote Secured, Total Valid Votes, % of Votes Secured Over Total Electors, % of Votes Secured Over Total Votes Poled, Status,Total Electors
Karimganj South,4,3,SIPRA GOON,N,BJP,11861,128442,7.382211987303168,9.234518303981563,FD,160670
Algapur,8,3,MEHNAZ SAHID CHOUDHURY,S,AGP,5822,119393,4.051101493243525,4.876332783329006,FD,143714
Silchar,9,2,BITHIKA DEV,N,INC,54867,156594,26.26899543247824,35.0377409096134,L,208866
Silchar,9,14,RITA MAZUMDER,Z,IND,526,156594,0.2518361054455967,0.3359004814999298,FD,208866
Udharbond,12,4,APARNA TEWARI,U,SP,542,112160,0.38461538461538464,0.48323823109843084,FD,140920
Barkhola,14,4,DR. RUMI NATH,N,INC,21946,104534,16.870896818929598,20.994126312969943,L,130082
Katigorah,15,6,SUJATA SINHA,U,JNCP,273,135712,0.16960735586481113,0.20116128271634048,FD,160960
Haflong ,16,2,NEIKHOL HAOLAI CHANGSAN,S,AIUDF,2723,102495,2.1540506118832714,2.656714961705449,FD,126413
Diphu,19,4,MARY KRAMSAPI,U,JNCP,1231,138262,0.7152859691224237,0.8903386324514327,FD,172099
Dhubri,23,7,MUKTA BEGUM,U,RPI(A),406,152023,0.2351959773377669,0.2670648520289693,FD,172622
BILASIPARA WEST,26,5,AJMIRA AKTAR,U,JNCP,492,137513,0.33301520904826687,0.35778435493371535,FD,147741
BILASIPARA WEST,26,3,SABANA AKTAR,N,INC,25515,137513,17.270087518021402,18.554609382385664,L,147741
Kokrajhar West,29,10,SUBHADRA NARZARY,Z,IND,1044,140941,0.6542214201116688,0.7407354850611249,FD,159579
Kokrajhar West,29,3,ARUNA BRAHMA,Z,IND,775,140941,0.4856528741250415,0.549875479810701,FD,159579
Kokrajhar West,29,9,SUJILA BASUMATARY,Z,IND,977,140941,0.6122359458324717,0.6931978629355546,FD,159579
Kokrajhar West,29,5,NILIMA BRAHMA,Z,IND,3545,140941,2.2214702435784157,2.5152368721663674,FD,159579
Kokrajhar East,30,4,PRATIBHA BRAHMA,Z,IND,36405,138229,22.004158456535666,26.336731076691578,L,165446
Kokrajhar East,30,1,PRAMILA RANI BRAHMA,S,BOPF,76496,138229,46.23623417912793,55.34005165341571,W,165446
Bongaigaon,32,5,DHIRABATI CHOUDHURY,Z,IND,1902,137947,1.1899697189619358,1.3787904050106201,FD,159836
Dudhnai,36,3,MEERA BASUMATARY,S,AIUDF,11305,160054,6.19682950359586,7.063241156109814,FD,182432
Goalpara West,38,9,ZESMINA KHATUN,U,AITC,582,136264,0.39003337398973315,0.4271120765572712,FD,149218
Goalpara West,38,12,BABLI GOSWAMI CHAKRABORTY,Z,IND,480,136264,0.3216770094760686,0.35225738272764634,FD,149218
