List OF Participating Political Parties,Unnamed: 1,Unnamed: 2
Party Type,Party Name,Party Abbreviation
N,Bharatiya Janata Party,BJP
N,Communist Party of India,CPI
N,Communist Party of India  (Marxist),CPM
N,Indian National Congress,INC
N,Nationalist Congress Party,NCP
O,All India Forward Bloc,AIFB
O,All India Trinamool Congress,AITC
O,Indian Union Muslim League,IUML
O,Janata Dal  (United),JD(U)
O,Lok Jan Shakti Party,LJP
O,National People's Party,NPEP
O,Shivsena,SHS
O,Samajwadi Party,SP
S,Asom Gana Parishad,AGP
S,All India United Democratic Front,AIUDF
S,Bodoland Peoples Front,BOPF
U,Akhil Bharat Hindu Mahasabha,ABHM
U,New All India Congress Party,aicp
U,Bharatiya Gana Parishad,BGanP
U,Bhartiya Rashtrawadi Party,BhaRP
U,Bharat Vikas Morcha,BVM
U,Communist Party of India  (Marxist-Leninist)  (Liberation),CPI(ML)(L)
U,Forward Democratic Labour Party,FDLP
U,Janata Congress Party of Bharat Varsha,JCPB
U,Jharkhand Disom Party,JDP
U,Jai Maha Bharath Party,JMBP
U,Jan Congress Party,JnCP
U,Liberal Democratic Party,LDP
U,Rashtriya Jankranti Party,RaJPa
U,Revolutionary Communist Party of India  (Rasik Bhatt),RCPI(R)
U,Republican Party of India,RPI
U,Republican Party of India (A),RPI(A)
U,Rashtriya Pragati Party,RPP
U,Rashtriya Secular Congress,RsSC
U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),SUCI
U,The National Road Map Party of India,TNRMPI
Z,Independent,IND
Z1,None of the Above,NOTA
