8 - CONSTITUENCY DATA - SUMMARY,,,,,,,,,
State/UT,S03-Assam,Constituency Name,1-RATABARI -SC,,,,,,
I. Candidates,,Men,Woman,Third Gender,Total,,,,
,1. NOMINATION FILED,9,1,0,10,,,,
,2. NOMINATION REJECTED,2,0,0,2,,,,
,3. Withdrawn,0,0,0,0,,,,
,4. Contested,7,1,0,8,,,,
,5. Forfeited Deposit,5,1,0,6,,,,
II. Electors,,,,,,,,,
,1. GENERAL(Other than OVERSEAS),89487,83949,3,173439,,,,
,2. Overseas,0,0,0,0,,,,
,3. Service,528,7,0,535,,,,
,4. Total,90015,83956,3,173974,,,,
III. VOTERS,,,,,,,,,
,1. GENERAL(Other than OVERSEAS),70261,65234,0,135495,,,,
,2. Overseas,0,0,0,0,,,,
,3. PROXY ( Already included in III.1 General ),,,,0,,,,
,4. Postal,,,,1680,,,,
,5. Total,70261,65234,0,137175,,,,
III. Polling Percentage,,,,,78.85,,,,
IV. Votes,,,,,,,,,
,1. Total Votes Polled On EVM,,,,135495,,,,
,"2. TOTAL DEDUCTED VOTES FROM EVM(TEST
VOTES + VOTES REJECTED
DUE TO OTHER REASONS + 'NOTA')",,,,1147,,,,
,3.Total valid votes polled on evm,,,,134348,,,,
,4. Postal Votes Counted,,,,1680,,,,
,5. POSTAL VOTES DEDUCTED(REJECTED POSTAL VOTES + POSTAL VOTES POLLED FOR 'NOTA'),,,,417,,,,
,6. Valid Postal Votes,,,,1263,,,,
,7. Total Valid Votes Polled,,,,135611,,,,
,8. Test Votes polled On EVM,,,,0,,,,
,9. VOTES POLLED FOR 'NOTA' (INCLUDING POSTAL),,,,1200,,,,
,10. Tendered Votes,,,,0,,,,
V. Polling Stations,,,,,,,,,
,Number,,248,Average Electors Per Polling Station,702,,,,
,"Date(s) of Re-poll, If Any:",,,,2021-04-20,,,,
,Number Of Polling Stations where Re-Polls Was Ordered,,,,1 NUMBER PS ORDER DATED 10-04-2021,,,,
VI. Dates,,,,,,,,,
,Polling,,Counting,,Declaration Of Result,,,,
,2021-04-01,,2021-05-02,,2021-05-02,,,,
VII. Result,,,,,,,,,
,,,Party,Candidate,Votes,,,,
,Winner,,Bharatiya Janata Party,BIJOY MALAKAR,84711,,,,
,Runner-Up,,Indian National Congress,SAMBHU SING MALLAH,48490,,,,
,Margin,,36221,( 26.63 % of Total Votes),,,,,
,,,,,,,,,
Disclaimer,,,,,,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,,,,,
