constituency,party,total_votes,year,winner,vote_share,rank,vote_swing
ABHAYAPURI NORTH,AGP,60495.0,2021,0,0.37995314570680266,2,
ABHAYAPURI NORTH,AITC,1567.0,2021,0,0.009841913865981648,3,
ABHAYAPURI NORTH,ASMJTYP,1264.0,2021,0,0.007938850750862031,4,
ABHAYAPURI NORTH,INC,93276.0,2021,1,0.5858419641118725,1,
ABHAYAPURI NORTH,IND,811.0,2021,0,0.005093677182712902,6,
ABHAYAPURI NORTH,IND,413.0,2021,0,0.0025939441140079263,7,-0.0024997330687049754
ABHAYAPURI NORTH,JD(U),366.0,2021,0,0.002298749505392012,8,
ABHAYAPURI NORTH,NOTA,1025.0,2021,0,0.00643775476236834,5,
ABHAYAPURI SOUTH,AGP,65869.0,2021,0,0.3559351342004442,2,
ABHAYAPURI SOUTH,INC,112954.0,2021,1,0.6103675044175101,1,
ABHAYAPURI SOUTH,IND,2489.0,2021,0,0.013449764669645897,3,
ABHAYAPURI SOUTH,IND,2105.0,2021,0,0.01137475075516457,4,-0.002075013914481328
ABHAYAPURI SOUTH,NOTA,1642.0,2021,0,0.00887284595723526,5,
ALGAPUR,AGP,7549.0,2021,0,0.05590775109978819,3,
ALGAPUR,AIFB,552.0,2021,0,0.004088101550812436,11,
ALGAPUR,AIUDF,66785.0,2021,1,0.4946084457808126,1,
ALGAPUR,BJP,49181.0,2021,0,0.3642335550190334,2,
ALGAPUR,IND,2343.0,2021,0,0.017352213647741917,4,
ALGAPUR,IND,1601.0,2021,0,0.011856975693570127,5,-0.00549523795417179
ALGAPUR,IND,1403.0,2021,0,0.010390591441648275,6,-0.0014663842519218526
ALGAPUR,IND,794.0,2021,0,0.0058803489698280335,7,-0.004510242471820241
ALGAPUR,IND,760.0,2021,0,0.005628545613437412,8,-0.0002518033563906211
ALGAPUR,IND,634.0,2021,0,0.004695391998578052,9,-0.0009331536148593604
ALGAPUR,IND,594.0,2021,0,0.004399152755765556,10,-0.00029623924281249603
ALGAPUR,IND,534.0,2021,0,0.003954793891546813,12,-0.0004443588642187432
ALGAPUR,IND,466.0,2021,0,0.003451187178765571,13,-0.0005036067127812418
ALGAPUR,IND,339.0,2021,0,0.002510627582835898,15,-0.0009405595959296729
ALGAPUR,IND,314.0,2021,0,0.0023254780560780885,16,-0.00018514952675780958
ALGAPUR,IND,280.0,2021,0,0.0020736746996874674,17,-0.0002518033563906211
ALGAPUR,IND,224.0,2021,0,0.001658939759749974,18,-0.00041473493993749344
ALGAPUR,IND,136.0,2021,0,0.0010072134255624842,19,-0.0006517263341874898
ALGAPUR,IND,95.0,2021,0,0.0007035682016796766,20,-0.00030364522388280765
ALGAPUR,NOTA,442.0,2021,0,0.003273443633078074,14,
AMGURI,AGP,49891.0,2021,1,0.4802568249201032,1,
AMGURI,ASMJTYP,6987.0,2021,0,0.06725771052327596,3,
AMGURI,INC,43712.0,2021,0,0.4207770205228909,2,
AMGURI,IND,1022.0,2021,0,0.009837896114897385,5,
AMGURI,IND,959.0,2021,0,0.009231450463979054,6,-0.000606445650918332
AMGURI,NOTA,1313.0,2021,0,0.01263909745485349,4,
Abhayapuri North,AGP,136687.0,2016,1,0.125,1,
Abhayapuri North,AIUDF,136687.0,2016,1,0.125,1,
Abhayapuri North,CPM,136687.0,2016,1,0.125,1,
Abhayapuri North,INC,136687.0,2016,1,0.125,1,
Abhayapuri North,IND,136687.0,2016,1,0.125,1,
Abhayapuri North,IND,136687.0,2016,1,0.125,1,0.0
Abhayapuri North,NOTA,136687.0,2016,1,0.125,1,
Abhayapuri North,RPI(A),136687.0,2016,1,0.125,1,
Abhayapuri South (SC),AGP,158529.0,2016,1,0.14285714285714285,1,
Abhayapuri South (SC),AIUDF,158529.0,2016,1,0.14285714285714285,1,
Abhayapuri South (SC),INC,158529.0,2016,1,0.14285714285714285,1,
Abhayapuri South (SC),IND,158529.0,2016,1,0.14285714285714285,1,
Abhayapuri South (SC),JNCP,158529.0,2016,1,0.14285714285714285,1,
Abhayapuri South (SC),NOTA,158529.0,2016,1,0.14285714285714285,1,
Abhayapuri South (SC),RPI(A),158529.0,2016,1,0.14285714285714285,1,
Algapur,AGP,119393.0,2016,1,0.06666666666666667,1,
Algapur,AIUDF,119393.0,2016,1,0.06666666666666667,1,
Algapur,BJP,119393.0,2016,1,0.06666666666666667,1,
Algapur,INC,119393.0,2016,1,0.06666666666666667,1,
Algapur,IND,119393.0,2016,1,0.06666666666666667,1,
Algapur,IND,119393.0,2016,1,0.06666666666666667,1,0.0
Algapur,IND,119393.0,2016,1,0.06666666666666667,1,0.0
Algapur,IND,119393.0,2016,1,0.06666666666666667,1,0.0
Algapur,IND,119393.0,2016,1,0.06666666666666667,1,0.0
Algapur,IND,119393.0,2016,1,0.06666666666666667,1,0.0
Algapur,IND,119393.0,2016,1,0.06666666666666667,1,0.0
Algapur,IND,119393.0,2016,1,0.06666666666666667,1,0.0
Algapur,IND,119393.0,2016,1,0.06666666666666667,1,0.0
Algapur,NOTA,119393.0,2016,1,0.06666666666666667,1,
Algapur,SP,119393.0,2016,1,0.06666666666666667,1,
Amguri,AGP,96014.0,2016,1,0.1111111111111111,1,
Amguri,AIFB,96014.0,2016,1,0.1111111111111111,1,
Amguri,AIUDF,96014.0,2016,1,0.1111111111111111,1,
Amguri,INC,96014.0,2016,1,0.1111111111111111,1,
Amguri,IND,96014.0,2016,1,0.1111111111111111,1,
Amguri,IND,96014.0,2016,1,0.1111111111111111,1,0.0
Amguri,IND,96014.0,2016,1,0.1111111111111111,1,0.0
Amguri,IND,96014.0,2016,1,0.1111111111111111,1,0.0
Amguri,NOTA,96014.0,2016,1,0.1111111111111111,1,
BADARPUR,AIUDF,74452.0,2021,1,0.5662093511392328,1,
BADARPUR,ASMJTYP,2123.0,2021,0,0.016145468925866213,3,
BADARPUR,BJP,50504.0,2021,0,0.3840842028412375,2,
BADARPUR,IND,566.0,2021,0,0.004304444376844218,5,
BADARPUR,IND,456.0,2021,0,0.0034678915827578865,6,-0.0008365527940863318
BADARPUR,IND,292.0,2021,0,0.002220667417029173,8,-0.0012472241657287136
BADARPUR,IND,229.0,2021,0,0.001741550816779728,9,-0.0004791166002494449
BADARPUR,IND,218.0,2021,0,0.0016578955373710948,10,-8.365527940863314e-05
