Detailed Results,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total Votes
1,Ratabari,KRIPANATH MALLAH,M,40,SC,BJP,53773,202,53975,148269,112608
1,Ratabari,AKHIL RANJAN TALUKDAR,M,60,SC,INC,29324,125,29449,148269,112608
1,Ratabari,RAJIB BISWAS,M,37,SC,AIUDF,23914,12,23926,148269,112608
1,Ratabari,SETUL CHANDRA NAMASUDRA,M,66,SC,IND,908,0,908,148269,112608
1,Ratabari,None of the Above,,,,NOTA,887,2,889,148269,112608
1,Ratabari,NIRMAL MALLICK,M,42,SC,SP,542,0,542,148269,112608
1,Ratabari,PRABIR BARDHAN,M,36,SC,IND,486,1,487,148269,112608
1,Ratabari,SANJOY KUMAR MALLAH,M,39,SC,IND,419,0,419,148269,112608
1,Ratabari,KALIPADA BISWAS,M,40,SC,IND,380,0,380,148269,112608
1,Ratabari,MANILAL RABIDAS,M,67,SC,IND,369,1,370,148269,112608
1,Ratabari,SATYENDRA NAMASUDRA,M,40,SC,SUCI,353,1,354,148269,112608
1,Ratabari,NIRANJAN MALLAH,M,58,SC,IND,266,1,267,148269,112608
1,Ratabari,RANJU ROY,M,51,SC,IND,247,0,247,148269,112608
1,Ratabari,UMESH MALAH,M,29,SC,IND,204,0,204,148269,112608
1,Ratabari,AMULYA NAMASUDRA,M,56,SC,IND,191,0,191,148269,112608
2,Patharkandi,KRISHNENDU PAUL,M,42,GEN,BJP,46419,125,46544,155472,122694
2,Patharkandi,DEBENDRA KUMAR SINHA,M,62,GEN,AIUDF,37192,84,37276,155472,122694
2,Patharkandi,MONI LAL GOWALA,M,73,GEN,INC,31898,150,32048,155472,122694
2,Patharkandi,KRIPESH RANJAN DASGUPTA,M,65,GEN,CPM,1638,0,1638,155472,122694
2,Patharkandi,None of the Above,,,,NOTA,1029,1,1030,155472,122694
2,Patharkandi,KABIR AHMED,M,34,GEN,IND,892,0,892,155472,122694
2,Patharkandi,RAHIM UDDIN AHMED,M,46,GEN,IND,743,0,743,155472,122694
2,Patharkandi,MISBAQUE UDDIN,M,42,GEN,SP,599,0,599,155472,122694
2,Patharkandi,DEBANGSHU NATH,M,47,GEN,SUCI,509,0,509,155472,122694
2,Patharkandi,ASAD UDDIN AHMED,M,34,GEN,IND,501,0,501,155472,122694
2,Patharkandi,NITAI DEY,M,46,GEN,IND,495,0,495,155472,122694
2,Patharkandi,NIHAR RANJAN DEB NATH,M,44,GEN,IND,419,0,419,155472,122694
3,Karimganj North,KAMALAKHYA DEY PURKAYASTHA,M,38,GEN,INC,45079,210,45289,171548,130781
3,Karimganj North,MISSION RANJAN DAS,M,54,GEN,BJP,44627,194,44821,171548,130781
3,Karimganj North,SAHABUL ISLAM CHOUDHURY,M,47,GEN,AIUDF,34131,76,34207,171548,130781
3,Karimganj North,NAZRUL ISLAM CHOUDHURY,M,55,GEN,IND,1703,1,1704,171548,130781
3,Karimganj North,ABDUL AHAD CHOUDHURY,M,40,GEN,IND,1052,0,1052,171548,130781
3,Karimganj North,MOIN UDDIN,M,44,GEN,IND,708,0,708,171548,130781
3,Karimganj North,None of the Above,,,,NOTA,671,3,674,171548,130781
3,Karimganj North,ARUNANGSHU BHATTACHARJEE,M,57,GEN,SUCI,467,1,468,171548,130781
3,Karimganj North,MUHAMMAD MUHSIN ALAM,M,29,GEN,IND,419,1,420,171548,130781
3,Karimganj North,SIBIR AHMED,M,34,GEN,IND,265,0,265,171548,130781
3,Karimganj North,BIKASH KANTI ROY,M,57,GEN,BGANP,253,0,253,171548,130781
3,Karimganj North,DEEPAN NATH,M,35,GEN,IND,241,0,241,171548,130781
3,Karimganj North,KAYSAR AHMED CHOUDHURY,M,35,GEN,IND,236,1,237,171548,130781
3,Karimganj North,AMJAD HUSSAIN,M,47,GEN,IND,161,0,161,171548,130781
3,Karimganj North,TAJ UDDIN CHOUDHURY,M,43,GEN,IND,143,1,144,171548,130781
3,Karimganj North,ARUN KUMAR DAS,M,64,GEN,IND,137,0,137,171548,130781
4,Karimganj South,AZIZ AHMED KHAN,M,38,GEN,AIUDF,57934,126,58060,160670,128442
4,Karimganj South,SIDDEQUE AHMED,M,53,GEN,INC,53454,190,53644,160670,128442
4,Karimganj South,SIPRA GOON,F,47,GEN,BJP,11828,33,11861,160670,128442
4,Karimganj South,MONARUL HAQUE,M,28,GEN,IND,815,0,815,160670,128442
4,Karimganj South,MOSUD AHMED,M,41,GEN,IND,592,0,592,160670,128442
4,Karimganj South,AZIR UDDIN,M,43,GEN,IND,391,0,391,160670,128442
4,Karimganj South,MOIN UDDIN,M,44,GEN,IND,366,0,366,160670,128442
4,Karimganj South,MAYNUL HAQUE,M,40,GEN,IND,265,0,265,160670,128442
4,Karimganj South,SUFIAN AHMED,M,44,GEN,IND,264,0,264,160670,128442
4,Karimganj South,BILAL UDDIN,M,41,GEN,IND,242,0,242,160670,128442
4,Karimganj South,TAJ MD KAMAL UDDIN KHAN,M,33,GEN,IND,212,0,212,160670,128442
4,Karimganj South,JAMAL AHMED,M,35,GEN,IND,199,0,199,160670,128442
4,Karimganj South,None of the Above,,,,NOTA,172,1,173,160670,128442
4,Karimganj South,ABDUL HAMID,M,42,GEN,IND,159,0,159,160670,128442
4,Karimganj South,AHMED ALI,M,33,GEN,IND,157,0,157,160670,128442
4,Karimganj South,ABU BARKAT NIZAM UDDIN AHMED,M,50,GEN,IND,150,0,150,160670,128442
4,Karimganj South,MUKTAR HUSSAIN,M,25,GEN,IND,121,1,122,160670,128442
4,Karimganj South,SAD UDDIN,M,53,GEN,IND,106,0,106,160670,128442
4,Karimganj South,SAHAJAN AHMED,M,38,GEN,IND,105,0,105,160670,128442
4,Karimganj South,QUAMRUL ISLAM,M,35,GEN,IND,98,0,98,160670,128442
4,Karimganj South,SARIF UDDIN,M,36,GEN,IND,97,0,97,160670,128442
4,Karimganj South,FAIZUL HAQUE,M,25,GEN,IND,95,0,95,160670,128442
4,Karimganj South,KABIR UDDIN,M,39,GEN,IND,90,0,90,160670,128442
4,Karimganj South,SALIM UDDIN,M,30,GEN,IND,80,0,80,160670,128442
4,Karimganj South,SABIR AHMED,M,27,GEN,IND,56,0,56,160670,128442
4,Karimganj South,RAJIB DAS,M,34,GEN,IND,43,0,43,160670,128442
5,Badarpur,JAMAL UDDIN AHMED,M,61,GEN,INC,38116,150,38266,139063,112519
5,Badarpur,ABDUL AZIZ,M,48,GEN,AIUDF,36075,103,36178,139063,112519
5,Badarpur,DIPAK DEB,M,50,GEN,BJP,35589,105,35694,139063,112519
5,Badarpur,None of the Above,,,,NOTA,594,2,596,139063,112519
5,Badarpur,SAZIDUL HOQUE,M,31,GEN,IND,417,1,418,139063,112519
5,Badarpur,KAMRUL ISLAM,M,29,GEN,SP,303,0,303,139063,112519
5,Badarpur,SUBODH SUKLABAIDYA,M,50,SC,IND,295,0,295,139063,112519
5,Badarpur,OLIOUR RAHAMAN TAPADAR,M,43,GEN,IND,168,0,168,139063,112519
5,Badarpur,SOLMON SHAIKH,M,33,GEN,IND,145,2,147,139063,112519
5,Badarpur,ABDUS SUKKUR BEIG,M,41,GEN,IND,142,0,142,139063,112519
5,Badarpur,KHASRUZZAMAN TALUKDAR,M,26,GEN,IND,131,1,132,139063,112519
5,Badarpur,ANAM UDDIN,M,36,GEN,IND,101,0,101,139063,112519
5,Badarpur,BINOY NAMASUDRA,M,54,GEN,IND,79,0,79,139063,112519
6,Hailakandi,ANWAR HUSSAIN LASKAR,M,45,GEN,AIUDF,41462,185,41647,145069,112993
6,Hailakandi,SOUMYAJIT DUTTA CHOUDHURY,M,38,GEN,BJP,38877,162,39039,145069,112993
6,Hailakandi,ZAKIR HUSSAIN LASKAR,M,45,GEN,IND,15573,60,15633,145069,112993
6,Hailakandi,ANAM UDDIN LASKAR,M,45,GEN,INC,9222,65,9287,145069,112993
6,Hailakandi,HAJI SALIM UDDIN BARBHUIYA,M,58,GEN,IND,1114,5,1119,145069,112993
6,Hailakandi,PREMRAJ GOALA,M,49,GEN,IND,1101,3,1104,145069,112993
6,Hailakandi,SAMIR UDDIN LASKAR,M,63,GEN,SP,599,3,602,145069,112993
6,Hailakandi,FAKRUL ALAM MAZARBHUIYA,M,32,GEN,IND,579,0,579,145069,112993
6,Hailakandi,ALI HUSSAIN  MIRA,M,33,GEN,IND,428,2,430,145069,112993
6,Hailakandi,NIREN DAS,M,36,SC,IND,376,0,376,145069,112993
