10 - Detailed Results,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,VALID VOTES POLLED,,,,
STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Assam,1,RATABARI,1 BIJOY MALAKAR,MALE,41,SC,BJP,Lotus,83750,961,84711,61.92,173974
Assam,1,RATABARI,2 SAMBHU SING MALLAH,MALE,55,SC,INC,Hand,48197,293,48490,35.44,173974
Assam,1,RATABARI,3 NOTA,,,,NOTA,NOTA,1147,53,1200,0.88,173974
Assam,1,RATABARI,4 SANCHITA SUKLA,FEMALE,37,SC,SUCI,Battery torch,705,3,708,0.52,173974
Assam,1,RATABARI,5 SUJIT ROY,MALE,37,SC,IND,Cup & Saucer,625,3,628,0.46,173974
Assam,1,RATABARI,6 BEBUL DAS,MALE,40,SC,IND,Television,348,0,348,0.25,173974
Assam,1,RATABARI,7 BIKASH LAL DHUBI,MALE,49,SC,IND,Whistle,295,3,298,0.22,173974
Assam,1,RATABARI,8 BISHNU DHARI MALAH,MALE,49,SC,IND,Water Tank,232,0,232,0.17,173974
Assam,1,RATABARI,9 DIPENDRA DAS,MALE,52,SC,IND,Table,196,0,196,0.14,173974
TURN OUT,,,,,,TOTAL:,,,135495,1316,136811,78.64,
Assam,2,PATHARKANDI,1 KRISHNENDU PAUL,MALE,47,GENERAL,BJP,Lotus,74067,779,74846,49.66,191022
Assam,2,PATHARKANDI,2 SACHIN SAHOO,MALE,32,GENERAL,INC,Hand,69800,579,70379,46.7,191022
Assam,2,PATHARKANDI,3 NOTA,,,,NOTA,NOTA,1283,5,1288,0.85,191022
Assam,2,PATHARKANDI,4 SHIHAB UDDIN AHMED,MALE,51,GENERAL,IND,Boat,1018,2,1020,0.68,191022
Assam,2,PATHARKANDI,5 SAHIN UZ JAMAN,MALE,33,GENERAL,IND,Glass Tumbler,835,0,835,0.55,191022
Assam,2,PATHARKANDI,6 SABBIR AHMED,MALE,45,GENERAL,AGP,Elephant,541,2,543,0.36,191022
Assam,2,PATHARKANDI,7 IBRAHIM ALI,MALE,42,GENERAL,IND,Iron,281,6,287,0.19,191022
Assam,2,PATHARKANDI,8 HUMAYUN KABIR,MALE,41,GENERAL,ASMJTYP,SHIP,262,1,263,0.17,191022
Assam,2,PATHARKANDI,9 SANJOY KUMAR MALAKAR,MALE,48,GENERAL,IND,Table,216,0,216,0.14,191022
Assam,2,PATHARKANDI,10 JAYANTA SINHA,MALE,60,GENERAL,RPI,Cup & Saucer,180,8,188,0.12,191022
Assam,2,PATHARKANDI,11 MD. BAHAR UDDIN,MALE,44,GENERAL,RUC,BUCKET,172,2,174,0.12,191022
Assam,2,PATHARKANDI,12 CHANDAN DAS,MALE,40,GENERAL,IND,Helicopter,174,0,174,0.12,191022
Assam,2,PATHARKANDI,13 YASHOBANTA KUAMR DAS,MALE,48,GENERAL,IND,Petrol Pump,169,2,171,0.11,191022
Assam,2,PATHARKANDI,14 YEAFUS ALI,MALE,35,GENERAL,IND,CALCULATOR,127,11,138,0.09,191022
Assam,2,PATHARKANDI,15 BULU CHANDA,MALE,45,GENERAL,SUCI,Battery torch,98,3,101,0.07,191022
Assam,2,PATHARKANDI,16 NURUL ISLAM,MALE,36,GENERAL,AIFB,Lion,83,1,84,0.06,191022
TURN OUT,,,,,,TOTAL:,,,149306,1401,150707,78.9,
Assam,3,KARIMGANJ NORTH,1 KAMALAKHYA DEY PURKAYASTHA,MALE,43,GENERAL,INC,Hand,60375,623,60998,41.57,199784
Assam,3,KARIMGANJ NORTH,2 DR MANASH DAS,MALE,52,GENERAL,BJP,Lotus,51865,809,52674,35.89,199784
Assam,3,KARIMGANJ NORTH,3 SAHABUL ISLAM CHOUDHURY,MALE,52,GENERAL,IND,Pineapple,27916,128,28044,19.11,199784
Assam,3,KARIMGANJ NORTH,4 NOTA,,,,NOTA,NOTA,1172,8,1180,0.8,199784
Assam,3,KARIMGANJ NORTH,5 NAZRUL ISLAM CHOUDHURY,MALE,60,GENERAL,AIFB,Lion,852,6,858,0.58,199784
Assam,3,KARIMGANJ NORTH,6 DEBAJYOTI DEB ROY (SUJAN),MALE,34,GENERAL,IND,Helmet,562,16,578,0.39,199784
Assam,3,KARIMGANJ NORTH,7 JAKIR HUSSAIN,MALE,35,GENERAL,IND,Cup & Saucer,474,1,475,0.32,199784
Assam,3,KARIMGANJ NORTH,8 LUTFUR RAHMAN,MALE,44,GENERAL,IND,Batsman,466,1,467,0.32,199784
Assam,3,KARIMGANJ NORTH,9 NAZIM UDDIN KHAN,MALE,48,GENERAL,IND,Glass Tumbler,433,1,434,0.3,199784
Assam,3,KARIMGANJ NORTH,10 AHAD UDDIN,MALE,36,GENERAL,RUC,BUCKET,312,2,314,0.21,199784
Assam,3,KARIMGANJ NORTH,11 SUJIT KUMAR PAUL,MALE,44,GENERAL,SUCI,Battery Torch,161,4,165,0.11,199784
Assam,3,KARIMGANJ NORTH,12 RUHUL QUDDUS,MALE,46,GENERAL,IND,Bat,127,1,128,0.09,199784
Assam,3,KARIMGANJ NORTH,13 MD JUBAIR AHMED CHOUDHURY,MALE,33,GENERAL,IND,Spanner,117,4,121,0.08,199784
Assam,3,KARIMGANJ NORTH,14 ABDUL JABBAR CHOUDHURY,MALE,52,GENERAL,IND,Helicopter,114,1,115,0.08,199784
Assam,3,KARIMGANJ NORTH,15 MOHAMMAD ABDUL BATIN,MALE,50,GENERAL,IND,Laptop,102,0,102,0.07,199784
Assam,3,KARIMGANJ NORTH,16 GOPAL CHANDRA PAUL,MALE,61,GENERAL,SP,Bicycle,92,0,92,0.06,199784
TURN OUT,,,,,,TOTAL:,,,145140,1605,146745,73.45,
Assam,4,KARIMGANJ SOUTH,1 SIDDEQUE AHMED,MALE,59,GENERAL,INC,Hand,88074,835,88909,59.16,191328
Assam,4,KARIMGANJ SOUTH,2 AZIZ AHMED KHAN,MALE,42,GENERAL,AGP,Elephant,55835,587,56422,37.54,191328
Assam,4,KARIMGANJ SOUTH,3 HUSSAIN AHMED,MALE,34,GENERAL,IND,Immersion Rod,1167,0,1167,0.78,191328
Assam,4,KARIMGANJ SOUTH,4 NOTA,,,,NOTA,NOTA,974,11,985,0.66,191328
Assam,4,KARIMGANJ SOUTH,5 PRONAB KUMAR ROY,MALE,40,GENERAL,BLSP,DIAMOND,695,9,704,0.47,191328
Assam,4,KARIMGANJ SOUTH,6 SUFIAN AHMED,MALE,60,GENERAL,IND,Coat,515,1,516,0.34,191328
Assam,4,KARIMGANJ SOUTH,7 SAYED ALI AHMED,MALE,46,GENERAL,IND,Pineapple,297,0,297,0.2,191328
Assam,4,KARIMGANJ SOUTH,8 BIMAL KRISHNA DAS,MALE,44,SC,IND,Helicopter,234,7,241,0.16,191328
Assam,4,KARIMGANJ SOUTH,9 SHAMIM AHMED CHOUDHURY,MALE,28,GENERAL,IND,Battery torch,165,1,166,0.11,191328
Assam,4,KARIMGANJ SOUTH,10 RAJESH DEY PURKAYASTHA,MALE,40,GENERAL,IND,BELT,148,0,148,0.1,191328
Assam,4,KARIMGANJ SOUTH,11 BILAL AHMED,MALE,37,GENERAL,IND,Pot,141,0,141,0.09,191328
Assam,4,KARIMGANJ SOUTH,12 ABU SUFIAN,MALE,41,GENERAL,IND,Bat,131,0,131,0.09,191328
Assam,4,KARIMGANJ SOUTH,13 FAIZ AHMED,MALE,31,GENERAL,IND,Cup & Saucer,120,3,123,0.08,191328
Assam,4,KARIMGANJ SOUTH,14 JAHARUL HAQUE,MALE,34,GENERAL,IND,Batsman,122,0,122,0.08,191328
Assam,4,KARIMGANJ SOUTH,15 FORZAN KHAN,MALE,62,GENERAL,IND,COCONUT FARM,106,0,106,0.07,191328
Assam,4,KARIMGANJ SOUTH,16 ABDUL BASIT,MALE,29,GENERAL,IND,Football Player,101,1,102,0.07,191328
TURN OUT,,,,,,TOTAL:,,,148825,1455,150280,78.55,
Assam,5,BADARPUR,1 ABDUL AZIZ,MALE,52,GENERAL,AIUDF,Lock and Key,73908,544,74452,56.62,162536
Assam,5,BADARPUR,2 BISWARUP BHATTACHARJEE,MALE,68,GENERAL,BJP,Lotus,49969,535,50504,38.41,162536
Assam,5,BADARPUR,3 SAHAB UDDIN,MALE,50,GENERAL,ASMJTYP,SHIP,2111,12,2123,1.61,162536
Assam,5,BADARPUR,4 NOTA,,,,NOTA,NOTA,1692,14,1706,1.3,162536
Assam,5,BADARPUR,5 RIYAJ UDDIN,MALE,34,GENERAL,IND,Truck,566,0,566,0.43,162536
Assam,5,BADARPUR,6 ABDUL MALIK,MALE,34,GENERAL,IND,Helicopter,455,1,456,0.35,162536
Assam,5,BADARPUR,7 NIZAM UDDIN,MALE,40,GENERAL,RUC,Pen Nib with Seven Rays,356,3,359,0.27,162536
Assam,5,BADARPUR,8 KABIL MIYA,MALE,58,GENERAL,IND,Cup & Saucer,290,2,292,0.22,162536
Assam,5,BADARPUR,9 RASID AHMED,MALE,30,GENERAL,IND,Sofa,229,0,229,0.17,162536
Assam,5,BADARPUR,10 NAJIM UDDIN,MALE,29,GENERAL,IND,Tennis Racket & Ball,216,2,218,0.17,162536
Assam,5,BADARPUR,11 BAHAR ASHIK,MALE,39,GENERAL,IND,Table,175,0,175,0.13,162536
Assam,5,BADARPUR,12 ABDUL HASIB,MALE,32,GENERAL,IND,Auto- Rickshaw,157,2,159,0.12,162536
Assam,5,BADARPUR,13 ENAM UDDIN,MALE,39,GENERAL,IND,BENCH,98,5,103,0.08,162536
