5 - Performance of Political Parties,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,SEATS,,,"SHARE IN VALID VOTES
POLLED IN STATE",,"SEATS
CONTESTED"
PARTY TYPE,ABBREVIATION,CONTESTED,WON,FD,VOTES,%,
NATIONAL PARTIES,,,,,,,
1,AITC,15,0,15,36008,0.19%,1.43
2,BJP,93,60,6,6384538,33.21%,45.71
3,CPI,1,0,0,27290,0.14%,17.43
4,CPI(M),2,1,0,160758,0.84%,45.38
5,INC,95,29,3,5703341,29.67%,39.45
6,NCP,8,0,8,7724,0.04%,0.57
7,NPEP,11,0,11,18087,0.09%,1.01
,,225,90,43,12337746,64.18,
STATE PARTIES,,,,,,,
8,AGP,29,9,6,1519777,7.91%,32.91
9,AIUDF,20,16,1,1786551,9.29%,53.79
10,BOPF,12,4,0,651073,3.39%,37.73
,,61,29,7,3957401,20.59,
STATE PARTIES - OTHER STATES,,,,,,,
11,AIFB,6,0,6,3000,0.02%,0.36
12,BLSP,5,0,5,6123,0.03%,0.87
13,CPI(ML)(L),4,0,3,26403,0.14%,5.5
14,JD(U),33,0,33,21970,0.11%,0.38
15,LJP,8,0,8,7979,0.04%,0.59
16,RJD,1,0,1,13321,0.07%,10.17
17,SP,2,0,2,561,0%,0.19
,,59,0,58,79357,0.41,
REGISTERED(Unrecognised) PARTIES,,,,,,,
18,AIMF,2,0,2,2201,0.01%,0.63
19,AJM,3,0,3,1488,0.01%,0.3
20,ASDC,3,0,3,15887,0.08%,4.23
21,ASM,3,0,3,3303,0.02%,1.01
22,ASMJTYP,82,0,75,702992,3.66%,5.62
23,BAHUMP,1,0,1,1290,0.01%,1.01
24,BGanP,15,0,15,21869,0.11%,0.84
25,BhaRP,1,0,1,170,0%,0.11
26,BTP,2,0,2,1536,0.01%,0.64
27,HND,1,0,1,492,0%,0.28
28,JP,2,0,2,1562,0.01%,0.44
29,LRAP,1,0,1,1137,0.01%,0.51
30,NRCong,1,0,1,308,0%,0.17
31,PLTIJSTP,5,0,5,8425,0.04%,1.09
32,RCPI(R),1,0,1,3453,0.02%,1.67
33,RPI,2,0,2,591,0%,0.17
34,RPI(A),5,0,5,2304,0.01%,0.26
35,RPPRINAT,7,0,7,4096,0.02%,0.37
36,RUC,10,0,10,5023,0.03%,0.31
37,SUCI,27,0,27,18805,0.1%,0.44
38,SwaBP,1,0,1,582,0%,0.25
39,TNRMPI,8,0,8,6726,0.03%,0.49
40,UPPL,11,6,1,651744,3.39%,40.58
41,VPI,26,0,26,33111,0.17%,0.84
,,220,6,203,1489095,7.75,
INDEPENDENTS,,,,,,,
42,IND,381,1,369,1139423,5.93%,1.91
,,381,1,369,1139423,5.93,
43,NOTA,-,-,-,219578,1.14%,1.14
,,-,-,-,219578,1.14,
Grand Total:,,946,126,680,19222600,100,
,,,,,,,
Disclaimer,,,,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,,,
