7 -Individual Performance of Women Candidates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
Name of Constituency,,,,,,,,
Sl No.,Name of candidate,Party,Party Type,Votes Secured,% of votes secured,,Status,Total Valid votes
,,,,,over total electors,over total votes polled,,
State/UT : Assam,,,,,,,,
1 RATABARI,,,,,,,,
3,SANCHITA SUKLA,SUCI,U,708,0.41,0.52,DF,136811
8 ALGAPUR,,,,,,,,
3,Moon Swarnakar,BJP,N,49181,30.13,36.42,L,135026
9,Jahanara Begum Mazumder,IND,Z,314,0.19,0.23,DF,135026
10,Daisy Roy,IND,Z,1601,0.98,1.19,DF,135026
9 SILCHAR,,,,,,,,
3,DULALI CHAKRABORTY,SUCI,U,755,0.32,0.43,DF,175465
13,RUSNA BEGUM LASKAR,IND,Z,149,0.06,0.08,DF,175465
16 HAFLONG,,,,,,,,
1,NANDITA GORLOSA,BJP,N,67797,46,56.73,W,119518
19 DIPHU,,,,,,,,
9,Rohili Tokbipi,IND,Z,1091,0.54,0.72,DF,150922
20 BAITHALANGSO,,,,,,,,
4,Sima Engtipi,JD(U),U,942,0.45,0.58,DF,163112
6,Pratima Engheepi,IND,Z,1479,0.7,0.91,DF,163112
8,Rina Beypi,IND,Z,1223,0.58,0.75,DF,163112
30 KOKRAJHAR EAST,,,,,,,,
1,PRAMILA RANI BRAHMA,BOPF,S,63420,33.86,41.11,L,154255
31 SIDLI,,,,,,,,
5,SMRITI BASUMATARY,IND,Z,1850,0.9,1.08,DF,171829
34 ABHAYAPURI NORTH,,,,,,,,
4,AJANTA BARUAH,ASMJTYP,U,1264,0.69,0.79,DF,159217
37 GOALPARA EAST,,,,,,,,
7,CHITRALEKHA DAS,SUCI,U,327,0.15,0.17,DF,195474
40 SORBHOG,,,,,,,,
10,FAIZAN NESSA,IND,Z,945,0.41,0.49,DF,191460
42 PATACHARKUCHI,,,,,,,,
3,KRISHNAMANI DAS,RPPRINAT,U,608,0.42,0.54,DF,113414
44 JANIA,,,,,,,,
10,Inumani Begum,IND,Z,573,0.27,0.31,DF,184615
45 BAGHBAR,,,,,,,,
3,Hasinara Khatun,BJP,N,3038,1.83,2.01,DF,151276
46 SARUKHETRI,,,,,,,,
1,KALPANA PATOWARY,AGP,S,47504,23.02,26.56,L,178880
4,MINAKSHI RAHMAN,AIUDF,S,44805,21.71,25.05,L,178880
10,HALIMA KHATUN,SUCI,U,463,0.22,0.26,DF,178880
48 BOKO,,,,,,,,
3,NANDITA DAS,INC,N,120613,50.84,58.82,W,205066
50 PALASBARI,,,,,,,,
5,JURI MALI,IND,Z,1730,1.09,1.31,DF,131846
7,MUNMI DUTTA,IND,Z,1094,0.69,0.83,DF,131846
52 DISPUR,,,,,,,,
4,PALLABI RABHA,JD(U),U,847,0.21,0.28,DF,306318
10,PALLABI DOLEY,IND,Z,788,0.19,0.26,DF,306318
53 GAUHATI EAST,,,,,,,,
1,ASHIMA BARDOLOI,INC,N,29361,12.25,17.16,L,171060
6,BAPI AICH,BGanP,U,228,0.1,0.13,DF,171060
8,MITALI DEKA DEVI,LJP,U,373,0.16,0.22,DF,171060
54 GAUHATI WEST,,,,,,,,
1,MIRA BORTHAKUR GOSWAMI,INC,N,59084,19.89,25.72,L,229714
8,RUNA LAILA,ASMJTYP,U,5770,1.94,2.51,DF,229714
15,SWAPNALI DAS,IND,Z,1718,0.58,0.75,DF,229714
55 HAJO,,,,,,,,
2,SRI SUMAN HARIPRIYA,BJP,N,66165,37.17,43.63,W,151665
58 TAMULPUR,,,,,,,,
3,NIRMALA DAS,BGanP,U,7695,3.57,4.56,DF,168579
62 BARAMA,,,,,,,,
3,SAROJANI BASUMATARY,VPI,U,1798,1.06,1.35,DF,133347
64 PANERY,,,,,,,,
3,BHUMITRA KACHARI,VPI,U,2103,1.35,1.76,DF,119439
4,SWARNALATA CHALIHA,SUCI,U,1280,0.82,1.07,DF,119439
66 SIPAJHAR,,,,,,,,
3,GITIKA KAKATI,ASMJTYP,U,2201,1.23,1.48,DF,148505
4,PAHESWARI BARUA,SUCI,U,219,0.12,0.15,DF,148505
8,ASIFUN NESSA,IND,Z,360,0.2,0.24,DF,148505
73 TEZPUR,,,,,,,,
6,AKASH JYOTI SINGHA,IND,Z,590,0.31,0.39,DF,149833
75 SOOTEA,,,,,,,,
3,ANILA BASUMATARY,VPI,U,2441,1.28,1.63,DF,150091
81 LAHARIGHAT,,,,,,,,
3,TASLIMA NASRIN,JD(U),U,424,0.23,0.26,DF,163369
4,SHOMZIDA YEASMIN,ASMJTYP,U,1371,0.73,0.84,DF,163369
82 RAHA,,,,,,,,
4,MONI DAS,JP,U,1110,0.5,0.62,DF,178849
6,CHITRALEKHA DAS,IND,Z,1139,0.51,0.64,DF,178849
83 DHING,,,,,,,,
6,Shahnaz Begum,JD(U),U,767,0.33,0.37,DF,207244
84 BATADROBA,,,,,,,,
1,Angoorlata Deka,BJP,N,51458,30.93,36.64,L,140426
2,Sibamoni Bora,INC,N,84278,50.66,60.02,W,140426
5,Musleha Begum,RUC,U,463,0.28,0.33,DF,140426
86 NOWGONG,,,,,,,,
7,ASHA BEGUM,IND,Z,352,0.19,0.23,DF,155942
87 BARHAMPUR,,,,,,,,
3,DIPIKA SAIKIA KEOT,ASMJTYP,U,1922,1.07,1.34,DF,143957
4,PARBIN CHOUDHURY,AJM,U,333,0.19,0.23,DF,143957
90 JAMUNAMUKH,,,,,,,,
8,Gauri Kuwar,IND,Z,373,0.17,0.2,DF,187182
10,Diluwara Begum Chowdhury,IND,Z,18028,8.13,9.63,DF,187182
92 LUMDING,,,,,,,,
4,Mausumi Sarma Bezbaruah,ASMJTYP,U,3260,1.54,1.87,DF,174579
94 SARUPATHAR,,,,,,,,
2,ROSELINA TIRKEY,INC,N,67731,25.31,32.57,L,207986
95 GOLAGHAT,,,,,,,,
1,Ajanta Neog,BJP,N,81651,39.72,50.63,W,161284
3,Rina Saikia,ASMJTYP,U,5062,2.46,3.14,DF,161284
96 KHUMTAI,,,,,,,,
1,Bismita Gogoi,INC,N,38522,27.27,33.14,L,116233
102 TEOK,,,,,,,,
1,PALLABI GOGOI,INC,N,46205,33.77,44.48,L,103872
2,RENUPOMA RAJKHOWA,AGP,S,47555,34.76,45.78,W,103872
3,RUBI NEOG,LJP,U,1109,0.81,1.07,DF,103872
103 AMGURI,,,,,,,,
1,Angkita Dutta,INC,N,43712,35,42.08,L,103884
104 NAZIRA,,,,,,,,
3,Ribulaya Gogoi,ASMJTYP,U,2896,2.16,2.63,DF,110158
108 SIBSAGAR,,,,,,,,
3,Surabhi Rajkonwari,BJP,N,45344,29.81,36.5,L,124219
5,RUPA BORAH,IND,Z,819,0.54,0.66,DF,124219
110 NAOBOICHA,,,,,,,,
7,PUTALI KAYASTHA,ASMJTYP,U,1934,0.85,1,DF,193501
11,SAHEBA AHMED,IND,Z,1032,0.45,0.53,DF,193501
112 DHAKUAKHANA,,,,,,,,
3,JUTIKA DOLEY,SUCI,U,905,0.43,0.53,DF,169944
114 JONAI,,,,,,,,
5,BHABANI BORO,IND,Z,1511,0.48,0.62,DF,245158
120 NAHARKATIA,,,,,,,,
3,PRANATI PHUKAN,INC,N,32292,22.74,29.08,L,111036
121 CHABUA,,,,,,,,
5,PRIYANKA NEOG,IND,Z,16700,10.06,12.91,DF,129353
122 TINSUKIA,,,,,,,,
9,HIRA DEVI,RJD,U,13321,7.68,10.17,DF,130925
126 SADIYA,,,,,,,,
5,RIJUMONI GOGOI,IND,Z,1055,0.56,0.74,DF,142575
,,,,,,,,
Disclaimer,,,,,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,,,,
