BJP,INC,AGP,AIUDF,BPF,UPPL,OTHER,NDA,OPPOSITION
54,47,10,8,0,8,0,72,55
57,40,9,12,0,9,0,75,52
59,45,7,8,0,8,0,74,53
67,36,7,7,0,10,0,84,43
56,39,13,14,0,5,0,74,53
63,35,13,10,0,6,0,82,45
50,52,8,10,0,7,0,65,62
48,46,11,12,0,10,0,69,58
56,45,8,11,0,7,0,71,56
52,45,12,8,0,10,0,74,53
47,52,8,12,0,8,0,63,64
47,49,11,12,0,8,0,66,61
64,40,9,7,0,7,0,80,47
48,47,12,12,0,8,0,68,59
47,51,10,12,0,7,0,64,63
49,57,7,7,0,7,0,63,64
45,52,10,14,0,6,0,61,66
51,46,12,11,0,7,0,70,57
47,57,7,11,0,5,0,59,68
50,46,12,10,0,9,0,71,56
54,44,11,11,0,7,0,72,55
56,43,9,13,0,6,0,71,56
60,38,13,9,0,7,0,80,47
48,46,13,15,0,5,0,66,61
60,40,13,6,0,8,0,81,46
51,50,10,7,0,9,0,70,57
56,45,10,11,0,5,0,71,56
54,45,11,10,0,7,0,72,55
50,47,10,10,0,10,0,70,57
49,48,12,7,0,11,0,72,55
48,49,11,13,0,6,0,65,62
48,57,6,10,0,6,0,60,67
51,44,8,14,0,10,0,69,58
63,38,10,8,0,8,0,81,46
48,46,7,18,0,8,0,63,64
49,52,11,8,0,7,0,67,60
47,52,9,12,0,7,0,63,64
50,44,13,14,0,6,0,69,58
54,45,11,10,0,7,0,72,55
61,38,15,7,0,6,0,82,45
56,46,12,9,0,4,0,72,55
61,43,7,8,0,8,0,76,51
50,51,9,8,0,9,0,68,59
53,43,9,13,0,9,0,71,56
56,49,8,11,0,3,0,67,60
63,39,8,9,0,8,0,79,48
47,52,10,11,0,7,0,64,63
60,38,13,7,0,9,0,82,45
52,44,11,15,0,5,0,68,59
49,51,10,12,0,5,0,64,63
52,49,9,9,0,8,0,69,58
52,41,9,18,0,7,0,68,59
56,41,10,11,0,9,0,75,52
57,45,7,11,0,7,0,71,56
46,51,10,15,0,5,0,61,66
50,42,12,15,0,8,0,70,57
57,45,7,12,0,6,0,70,57
42,52,9,15,0,9,0,60,67
55,51,9,10,0,2,0,66,61
46,50,15,8,0,8,0,69,58
60,42,9,9,0,7,0,76,51
53,49,10,9,0,6,0,69,58
61,35,13,11,0,7,0,81,46
53,46,11,11,0,6,0,70,57
62,40,8,12,0,5,0,75,52
45,49,14,12,0,7,0,66,61
57,47,7,9,0,7,0,71,56
56,39,13,11,0,8,0,77,50
48,52,9,9,0,9,0,66,61
61,40,8,10,0,8,0,77,50
51,52,9,9,0,6,0,66,61
60,38,10,13,0,6,0,76,51
55,45,9,10,0,8,0,72,55
60,40,11,10,0,6,0,77,50
44,62,10,9,0,2,0,56,71
44,54,9,9,0,11,0,64,63
46,56,7,9,0,9,0,62,65
51,45,10,13,0,8,0,69,58
56,49,9,5,0,8,0,73,54
48,51,10,14,0,4,0,62,65
49,49,12,12,0,5,0,66,61
51,48,10,12,0,6,0,67,60
51,51,13,6,0,6,0,70,57
67,35,10,9,0,6,0,83,44
59,42,7,14,0,5,0,71,56
55,48,8,8,0,8,0,71,56
61,40,12,8,0,6,0,79,48
36,59,11,15,0,6,0,53,74
55,46,8,11,0,7,0,70,57
57,37,11,15,0,7,0,75,52
50,47,10,14,0,6,0,66,61
55,44,7,11,0,10,0,72,55
53,41,9,18,0,6,0,68,59
59,45,9,7,0,7,0,75,52
50,54,11,6,0,6,0,67,60
52,45,14,10,0,6,0,72,55
57,44,11,9,0,6,0,74,53
51,51,7,13,0,5,0,63,64
42,59,8,11,0,7,0,57,70
52,51,5,13,0,6,0,63,64
57,43,8,15,0,4,0,69,58
55,49,9,5,0,9,0,73,54
48,53,10,8,0,8,0,66,61
61,40,14,6,0,6,0,81,46
58,42,6,14,0,7,0,71,56
54,46,13,8,0,6,0,73,54
67,34,9,10,0,7,0,83,44
57,42,10,10,0,8,0,75,52
61,38,15,8,0,5,0,81,46
51,46,11,10,0,9,0,71,56
52,49,10,10,0,6,0,68,59
58,45,10,9,0,5,0,73,54
49,44,10,15,0,9,0,68,59
48,48,11,12,0,8,0,67,60
57,42,10,9,0,9,0,76,51
60,47,6,10,0,4,0,70,57
61,54,7,5,0,0,0,68,59
48,58,8,7,0,6,0,62,65
55,49,10,9,0,4,0,69,58
49,49,11,9,0,9,0,69,58
50,48,11,12,0,6,0,67,60
55,38,15,11,0,8,0,78,49
48,47,10,16,0,6,0,64,63
52,43,16,9,0,7,0,75,52
54,52,4,11,0,6,0,64,63
57,38,11,11,0,10,0,78,49
56,36,13,14,0,8,0,77,50
55,40,10,16,0,6,0,71,56
46,48,12,13,0,8,0,66,61
