constituency,party,alliance,vs_2021,vs_proj,rank_2021,nda_total_vs,opp_total_vs,p_base,win_probability,predicted_winner,runner_up_prob,confidence_score
ABHAYAPURI NORTH,INC,OPPOSITION,0.5858419641118725,0.5858419641118725,1,0.3799531457068026,0.5858419641118725,0.5992646155142387,0.6300821106617551,1,0.32179816289961155,0.3083
ABHAYAPURI SOUTH,INC,OPPOSITION,0.6103675044175101,0.6103675044175101,1,0.3559351342004442,0.6103675044175101,0.6267458934620651,0.6597902470631173,1,0.29208940832456837,0.3677
ALGAPUR,AIUDF,OPPOSITION,0.4946084457808126,0.4946084457808126,1,0.4201413061188215,0.4946084457808126,0.5171403452485411,0.5171403452485411,1,0.30098969329465125,0.2162
AMGOURI,AGP,NDA,0.52,0.52,1,0.52,0.42,0.582251620010408,0.582251620010408,1,0.4177483799895921,0.1645
BADARPUR,AIUDF,OPPOSITION,0.5662093511392328,0.5662093511392328,1,0.3840842028412375,0.5662093511392328,0.5875619756095805,0.5875619756095805,1,0.3175380717958785,0.27
BAGHBAR,INC,OPPOSITION,0.5245842037071313,0.5245842037071313,1,0.0200824982151828,0.9570057378566329,0.528608138972744,0.528608138972744,1,0.3831476553591538,0.1455
BAITHALANGSO,BJP,NDA,0.5500208445730541,0.5500208445730541,1,0.5500208445730541,0.2224115944872235,0.7710527556397412,0.7710527556397412,1,0.22894724436025876,0.5421
BARAMA,UPPL,NDA,0.4678395464464892,0.4678395464464892,1,0.4678395464464892,0.0,0.7557770016737875,0.8194632910000947,1,0.13240134424776445,0.6871
BARCHALLA,BJP,NDA,0.5149969349330064,0.5149969349330064,1,0.5149969349330064,0.3852278366465248,0.6122194074723688,0.6122194074723688,1,0.38778059252763114,0.2244
BARHAMPUR,BJP,NDA,0.4870273762304021,0.4870273762304021,1,0.4870273762304021,0.4818105406475544,0.5041449010519452,0.5041449010519452,1,0.49585509894805474,0.0083
BARKHETRI,INC,OPPOSITION,0.4946201856857174,0.4946201856857174,1,0.47125674998127,0.5009941274442569,0.4793881986541477,0.4780445587252055,1,0.43670428695776253,0.0413
BARKHOLA,INC,OPPOSITION,0.5177254246548926,0.5177254246548926,1,0.4612306555032381,0.5177254246548926,0.5438258103771003,0.5438258103771003,1,0.4561741896228998,0.0877
BARPETA,INC,OPPOSITION,0.610372983427843,0.610372983427843,1,0.3646533913578619,0.610372983427843,0.6201160843536959,0.6523670931893317,1,0.2995129029922977,0.3529
BATADROBA,INC,OPPOSITION,0.6001595146197998,0.6001595146197998,1,0.3664421118596271,0.6001595146197998,0.6718099742321932,0.6718099742321932,1,0.32819002576780676,0.3436
BEHALI,BJP,NDA,0.5092811724786861,0.5092811724786861,1,0.5092811724786861,0.0,0.8420313437315212,0.8420313437315212,1,0.15796865626847872,0.6841
BHABANIPUR,AIUDF,OPPOSITION,0.4456501835147249,0.4456501835147249,1,0.4199581220193785,0.4456501835147249,0.4403961589550162,0.4566190193875279,1,0.4018912509191266,0.0547
